id,name,genre,type1,type2,generation
1,Bulbasaur, ,Grass,Poison,1
2,Ivysaur, ,Grass,Poison,1
3,Venusaur, ,Grass,Poison,1
4,Charmander, ,Fire, ,1
5,Charmeleon, ,Fire, ,1
6,Charizard, ,Fire,Flying,1
7,Squirtle, ,Water, ,1
8,Wartortle, ,Water, ,1
9,Blastoise, ,Water, ,1
10,Caterpie, ,Bug, ,1
11,Metapod, ,Bug, ,1
12,Butterfree, ,Bug,Flying,1
13,Weedle, ,Bug,Poison,1
14,Kakuna, ,Bug,Poison,1
15,Beedrill, ,Bug,Poison,1
16,Pidgey, ,Normal,Flying,1
17,Pidgeotto, ,Normal,Flying,1
18,Pidgeot, ,Normal,Flying,1
19,Rattata, ,Normal, ,1
20,Raticate, ,Normal, ,1
21,Spearow, ,Normal,Flying,1
22,Fearow, ,Normal,Flying,1
23,Ekans, ,Poison, ,1
24,Arbok, ,Poison, ,1
25,Pikachu, ,Electric, ,1
26,Raichu, ,Electric, ,1
27,Sandshrew, ,Ground, ,1
28,Sandslash, ,Ground, ,1
29,Nidoran,Female,Poison, ,1
30,Nidorina, ,Poison, ,1
31,Nidoqueen, ,Poison,Ground,1
32,Nidoran,Male,Poison, ,1
33,Nidorino, ,Poison, ,1
34,Nidoking, ,Poison,Ground,1
35,Clefairy, ,Fairy, ,1
36,Clefable, ,Fairy, ,1
37,Vulpix, ,Fire, ,1
38,Ninetales, ,Fire, ,1
39,Jigglypuff, ,Normal,Fairy,1
40,Wigglytuff, ,Normal,Fairy,1
41,Zubat, ,Poison,Flying,1
42,Golbat, ,Poison,Flying,1
43,Oddish, ,Grass,Poison,1
44,Gloom, ,Grass,Poison,1
45,Vileplume, ,Grass,Poison,1
46,Paras, ,Bug,Grass,1
47,Parasect, ,Bug,Grass,1
48,Venonat, ,Bug,Poison,1
49,Venomoth, ,Bug,Poison,1
50,Diglett, ,Ground, ,1
51,Dugtrio, ,Ground, ,1
52,Meowth, ,Normal, ,1
53,Persian, ,Normal, ,1
54,Psyduck, ,Water, ,1
55,Golduck, ,Water, ,1
56,Mankey, ,Fighting, ,1
57,Primeape, ,Fighting, ,1
58,Growlithe, ,Fire, ,1
59,Arcanine, ,Fire, ,1
60,Poliwag, ,Water, ,1
61,Poliwhirl, ,Water, ,1
62,Poliwrath, ,Water,Fighting,1
63,Abra, ,Psychic, ,1
64,Kadabra, ,Psychic, ,1
65,Alakazam, ,Psychic, ,1
66,Machop, ,Fighting, ,1
67,Machoke, ,Fighting, ,1
68,Machamp, ,Fighting, ,1
69,Bellsprout, ,Grass,Poison,1
70,Weepinbell, ,Grass,Poison,1
71,Victreebel, ,Grass,Poison,1
72,Tentacool, ,Water,Poison,1
73,Tentacruel, ,Water,Poison,1
74,Geodude, ,Rock,Ground,1
75,Graveler, ,Rock,Ground,1
76,Golem, ,Rock,Ground,1
77,Ponyta, ,Fire, ,1
78,Rapidash, ,Fire, ,1
79,Slowpoke, ,Water,Psychic,1
80,Slowbro, ,Water,Psychic,1
81,Magnemite, ,Electric,Steel,1
82,Magneton, ,Electric,Steel,1
83,Farfetch'd, ,Normal,Flying,1
84,Doduo, ,Normal,Flying,1
85,Dodrio, ,Normal,Flying,1
86,Seel, ,Water, ,1
87,Dewgong, ,Water,Ice,1
88,Grimer, ,Poison, ,1
89,Muk, ,Poison, ,1
90,Shellder, ,Water, ,1
91,Cloyster, ,Water,Ice,1
92,Gastly, ,Ghost,Poison,1
93,Haunter, ,Ghost,Poison,1
94,Gengar, ,Ghost,Poison,1
95,Onix, ,Rock,Ground,1
96,Drowzee, ,Psychic, ,1
97,Hypno, ,Psychic, ,1
98,Krabby, ,Water, ,1
99,Kingler, ,Water, ,1
100,Voltorb, ,Electric, ,1
